,名稱,lon,lat
0,新莊副都心,121.4456162,25.0592415
1,新北產業園區,121.459187,25.061717
2,泰山,121.4394357,25.0532126
3,A6 泰山貴和站,121.4226287,25.0332198
4,林口,121.3613465,25.0658036
5,南港展覽館,121.6168358,25.0548748
6,昆陽,121.5932272,25.0504904
7,南港軟體園區,121.6159153,25.0600781
8,大湖公園,121.6022065,25.0837953
9,文德,121.5849503,25.0785513
10,內湖,121.5942486,25.0835589
11,文湖國小,121.561538,25.084381
12,港墘,121.5752003,25.0800546
13,西湖,121.5672853,25.0821512
14,東湖,121.6116127,25.0671748
15,葫洲,121.6078852,25.0724174
16,麟光,121.5588237,25.01851
17,松山機場,121.551738,25.0633862
18,劍南路,121.5555961,25.084863
19,大直,121.5471493,25.0798837
20,中山國中,121.5442076,25.06077999999999
21,南京復興,121.544009,25.0520785
22,台北小巨蛋,121.551879,25.051668
23,南京三民,121.563858,25.051429
24,松山,121.5782834,25.049284
25,後山埤,121.58252,25.04505
26,永春,121.5763155,25.0408274
27,市政府,121.5665591,25.0412366
28,國父紀念館,121.5575216,25.0413783
29,忠孝敦化,121.5504928,25.0413698
30,忠孝復興,121.5437808,25.0416216
31,象山,121.5700821,25.03281459999999
32,台北101/世貿,121.5627598,25.03303039999999
33,信義安和,121.5529574,25.0332705
34,大安,121.5435299,25.0332003
35,大安森林公園,121.5353131,25.0335283
36,東門,121.5287139,25.0338762
37,中正紀念堂,121.5183115,25.0326494
38,古亭,121.5228141,25.0265508
39,忠孝新生,121.5329,25.04236
40,善導寺,121.5233604,25.0448491
41,台大醫院,121.5166385,25.0412666
42,松江南京,121.5330819,25.0519821
43,中山,121.520391,25.052685
44,台北車站,121.51753,25.04625
45,行天宮,121.53318,25.05972
46,民權西路,121.5197213,25.0628632
47,中山國小,121.5264705,25.0627123
48,雙連,121.5206671,25.0577788
49,辛亥,121.5570925,25.0055191
50,木柵,121.573145,24.99824
51,動物園,121.579517,24.9982722
52,萬芳社區,121.568102,24.998585
53,萬芳醫院,121.5580505,24.9994093
54,大坪林,121.541351,24.982899
55,七張,121.54294,24.97517
56,景美,121.5408272,24.9928277
57,新店,121.53758,24.95784
58,新店區公所,121.5415249,24.9678581
59,萬隆,121.5390875,25.001684
60,六張犁,121.5531523,25.0238086
61,公館,121.53422,25.01491
62,科技大樓,121.5434607,25.0260787
63,台電大樓,121.5290642,25.0202411
64,小碧潭,121.5307062,24.9717316
65,頂溪,121.51551,25.01382
66,永安市場,121.5111088,25.0023452
67,景安,121.5048261,24.99382689999999
68,南勢角,121.5091044,24.9901276
69,小南門,121.5108002,25.0356186
70,海山,121.4487807,24.9853715
71,土城,121.4442503,24.9731415
72,頂埔,121.4197519,24.9594071
73,永寧,121.43607,24.96673
74,亞東醫院,121.4525477,24.9984977
75,府中,121.4594333,25.0085455
76,板橋,121.4624431,25.0138225
77,新埔,121.4685884,25.0229996
78,江子翠,121.4723249,25.0299168
79,龍山寺,121.4998019,25.0351014
80,西門,121.5082995,25.0421884
81,北門,121.510278,25.049285
82,台北車站,121.51375,25.04882
83,北投,121.4986418,25.1317795
84,奇岩,121.5011094,25.1255353
85,唭哩岸,121.5061653,25.1208333
86,淡水,121.4456756,25.167714
87,竹圍,121.4595256,25.13691429999999
88,紅樹林,121.4589185,25.1550093
89,復興崗,121.4854037,25.1376416
90,忠義,121.473322,25.1309308
91,關渡,121.4671,25.12563
92,明德,121.5187479,25.1098383
93,芝山,121.5225201,25.1029453
94,台北橋,121.50044,25.06318
95,三重,121.4827149,25.0548073
96,圓山,121.52012,25.07135
97,劍潭,121.5249762,25.0842798
98,士林,121.526214,25.093456
99,三重國小,121.4967621,25.0706729
100,三和國中,121.486462,25.0767991
101,大橋頭,121.5135995,25.0630769
102,菜寮,121.49146,25.05981
103,先嗇宮,121.4714928,25.04624879999999
104,頭前庄,121.4605244,25.0398423
105,新莊,121.45255,25.0361555
106,輔大,121.4352511,25.0329026
107,丹鳳,121.4224593,25.0288568
108,迴龍,121.4116256,25.0219364
109,徐匯中學,121.4800132,25.080482
110,三民高中,121.4735054,25.0855718
111,蘆洲,121.4645412,25.0917337
112,新北投,121.5022901,25.1369406
113,捷運南港站,121.60635,25.05188
